0:	5.448629508464E-06
1:	9.623741789255E-06
2:	1.336427612841E-05
3:	1.751847230480E-05
4:	2.206683711847E-05
5:	2.602298991405E-05
6:	2.975921233883E-05
7:	3.312193439342E-05
8:	3.610688872868E-05
9:	3.941228351323E-05
10:	4.236581662553E-05
11:	4.567234645947E-05
12:	4.929612987326E-05
13:	5.188417344471E-05
14:	5.390592923504E-05
15:	5.637564026983E-05
16:	5.917177986703E-05
17:	6.232244049897E-05
18:	6.527191726491E-05
19:	6.773589848308E-05
20:	6.991984992055E-05
21:	7.242338324431E-05
22:	7.563565304736E-05
23:	7.926570833661E-05
24:	8.247388177551E-05
25:	8.507026359439E-05
26:	8.728674583836E-05
27:	8.973394869827E-05
28:	9.271604358219E-05
29:	9.590718400432E-05
30:	9.888503700495E-05
31:	1.014293229673E-04
32:	1.037584006554E-04
33:	1.062408264261E-04
34:	1.090241712518E-04
35:	1.119526059483E-04
36:	1.147442453657E-04
37:	1.172470292659E-04
38:	1.195788645418E-04
39:	1.220028862008E-04
40:	1.246396277566E-04
41:	1.273898087675E-04
42:	1.300368166994E-04
43:	1.324701443082E-04
44:	1.348517398583E-04
45:	1.374211424263E-04
46:	1.400994515279E-04
47:	1.428432151442E-04
48:	1.455422170693E-04
49:	1.481303188484E-04
50:	1.506563276052E-04
51:	1.532144087832E-04
52:	1.558595249662E-04
53:	1.585517602507E-04
54:	1.612043706700E-04
55:	1.637747336645E-04
56:	1.663001166889E-04
57:	1.688472548267E-04
58:	1.714507816359E-04
59:	1.740829902701E-04
60:	1.766913192114E-04
61:	1.792445546016E-04
62:	1.817627344280E-04
63:	1.842953206506E-04
64:	1.868677500170E-04
65:	1.894627639558E-04
66:	1.920406648424E-04
67:	1.945804542629E-04
68:	1.971000019694E-04
69:	1.996322098421E-04
70:	2.021908439929E-04
71:	2.047711022897E-04
72:	2.073856740026E-04
73:	2.099768171320E-04
74:	2.125547762262E-04
75:	2.151452208636E-04
76:	2.177600690629E-04
77:	2.203893236583E-04
78:	2.230126992799E-04
79:	2.256194275105E-04
80:	2.282180503244E-04
81:	2.308248367626E-04
82:	2.334470627829E-04
83:	2.360796643188E-04
84:	2.387100976193E-04
85:	2.413301554043E-04
86:	2.439441595925E-04
87:	2.465635770932E-04
88:	2.491958730388E-04
89:	2.518359979149E-04
90:	2.544745802879E-04
91:	2.571058867034E-04
92:	2.597331767902E-04
93:	2.623661712278E-04
94:	2.650072565302E-04
95:	2.676541917026E-04
96:	2.703010395635E-04
97:	2.729434345383E-04
98:	2.755830937531E-04
99:	2.782270894386E-04
100:	2.808865392581E-04
101:	2.835567283910E-04
102:	2.862279361580E-04
103:	2.888976596296E-04
104:	2.915686927736E-04
105:	2.942426654045E-04
106:	2.969226916321E-04
107:	2.996080438606E-04
108:	3.022967139259E-04
109:	3.049867518712E-04
110:	3.076790308114E-04
111:	3.103764029220E-04
112:	3.130797122139E-04
113:	3.157892788295E-04
114:	3.185013774782E-04
115:	3.212157753296E-04
116:	3.239327925257E-04
117:	3.266555722803E-04
118:	3.293835034128E-04
119:	3.321168187540E-04
120:	3.348537429702E-04
121:	3.375939559191E-04
122:	3.403372829780E-04
123:	3.430850629229E-04
124:	3.458381979726E-04
125:	3.485966881271E-04
126:	3.513587580528E-04
127:	3.541245823726E-04
128:	3.568933170754E-04
129:	3.596674359869E-04
130:	3.624502278399E-04
131:	3.652379673440E-04
132:	3.680296940729E-04
133:	3.708254371304E-04
134:	3.736249054782E-04
135:	3.764288267121E-04
136:	3.792374045588E-04
